INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
TechInterpTo,,,,,,,,
,,,,,,,,
region,supplysector,subsector,tech,apply-to,from-year,to-year,to-value,function
all states,trn_aviation_intl,International Aviation,BEV,share-weight,2015,2060,1,s-curve
all states,trn_aviation_intl,International Aviation,Hydrogen,share-weight,2015,2060,1,s-curve
all states,trn_freight,Domestic Ship,BEV,share-weight,2015,2050,1,s-curve
all states,trn_freight,Domestic Ship,FCEV,share-weight,2015,2050,1,s-curve
all states,trn_freight,Domestic Ship,Hybrid Liquids,share-weight,2015,2035,1,s-curve
all states,trn_freight,Freight Rail,BEV,share-weight,2015,2045,1,s-curve
all states,trn_freight,Freight Rail,Electric,share-weight,2015,2100,0,s-curve
all states,trn_freight,Freight Rail,FCEV,share-weight,2015,2045,1,s-curve
all states,trn_freight,Freight Rail,Hybrid Liquids,share-weight,2015,2040,1,s-curve
all states,trn_freight_road,Heavy truck,BEV,share-weight,2015,2045,1,s-curve
all states,trn_freight_road,Heavy truck,FCEV,share-weight,2015,2045,1,s-curve
all states,trn_freight_road,Heavy truck,Hybrid Liquids,share-weight,2015,2030,1,s-curve
all states,trn_freight_road,Light truck,BEV,share-weight,2015,2035,1,s-curve
all states,trn_freight_road,Light truck,FCEV,share-weight,2015,2040,1,s-curve
all states,trn_freight_road,Light truck,Hybrid Liquids,share-weight,2015,2030,1,s-curve
all states,trn_freight_road,Medium truck,BEV,share-weight,2015,2045,1,s-curve
all states,trn_freight_road,Medium truck,FCEV,share-weight,2015,2045,1,s-curve
all states,trn_freight_road,Medium truck,Hybrid Liquids,share-weight,2015,2030,1,s-curve
all states,trn_pass,Domestic Aviation,BEV,share-weight,2015,2050,1,s-curve
all states,trn_pass,Domestic Aviation,Hydrogen,share-weight,2015,2050,1,s-curve
all states,trn_pass_road,Bus,BEV,share-weight,2015,2035,1,s-curve
all states,trn_pass_road,Bus,FCEV,share-weight,2015,2035,1,s-curve
all states,trn_pass_road,Bus,Hybrid Liquids,share-weight,2015,2030,1,s-curve
all states,trn_pass_road,Bus,NG,share-weight,2015,2100,0.05,s-curve
all states,trn_shipping_intl,International Ship,BEV,share-weight,2015,2050,1,s-curve
all states,trn_shipping_intl,International Ship,FCEV,share-weight,2015,2050,1,s-curve
all states,trn_shipping_intl,International Ship,Hybrid Liquids,share-weight,2015,2035,1,s-curve
all states,trn_pass_road_LDV_4W,Car,BEV,share-weight,2015,2030,1,s-curve
all states,trn_pass_road_LDV_4W,Car,FCEV,share-weight,2015,2035,1,s-curve
all states,trn_pass_road_LDV_4W,Car,Hybrid Liquids,share-weight,2015,2025,1,s-curve
all states,trn_pass_road_LDV_4W,Large Car and Truck,BEV,share-weight,2015,2030,1,s-curve
all states,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,share-weight,2015,2035,1,s-curve
all states,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,share-weight,2015,2025,1,s-curve
all states,trn_pass_road_LDV,2W and 3W,BEV,share-weight,2015,2030,1,s-curve
all states,trn_pass,Passenger Rail,Refined Liquids,share-weight,2015,2100,0.5,s-curve
