INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
AK,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
AL,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
AR,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
AZ,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
CA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
CO,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
CT,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
DC,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
DE,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
FL,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
GA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
HI,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
IA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
ID,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
IL,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
IN,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
KS,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
KY,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
LA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
MA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
MD,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
ME,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
MI,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
MN,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
MO,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
MS,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
MT,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
NC,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
ND,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
NE,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
NH,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
NJ,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
NM,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
NV,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
NY,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
OH,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
OK,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
OR,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
PA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
RI,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
SC,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
SD,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
TN,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
TX,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
UT,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
VA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
VT,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
WA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
WI,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
WV,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
WY,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
AK,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
AL,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
AR,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
AZ,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
CA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
CO,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
CT,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
DC,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
DE,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
FL,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
GA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
HI,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
IA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
ID,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
