INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
USA,trn_pass_road_LDV_4W,Car,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
USA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
USA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
USA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_medium,-0.007599
USA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
USA,trn_pass_road_LDV_4W,Car,FCEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
USA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
USA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
USA,trn_pass_road_LDV_4W,Car,BEV,2035,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Car,FCEV,2035,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2035,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2035,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Car,BEV,2040,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Car,FCEV,2040,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2040,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2040,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Car,BEV,2045,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Car,FCEV,2045,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2045,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2045,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Car,BEV,2050,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Car,FCEV,2050,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2050,IRA_30D_EV_tax-credit_medium,0
USA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2050,IRA_30D_EV_tax-credit_medium,0
