INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
AK,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
AL,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
AR,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
AZ,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
CA,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
CO,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
CT,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
DC,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
DE,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
FL,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
GA,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
HI,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
IA,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
ID,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
IL,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
IN,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
KS,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
KY,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
LA,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
MA,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
MD,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
ME,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
MI,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
MN,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
MO,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
MS,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
MT,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
NC,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
ND,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
NE,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
NH,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
NJ,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
NM,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
NV,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
NY,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
OH,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
OK,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
OR,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
PA,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
RI,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
SC,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
SD,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
TN,trn_freight_road,Heavy truck,BEV,2025,IRA_45W_heavy-truck_tax-credit,-0.048775
