INPUT_TABLE,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,
CoalConstr2025onward,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
region,policy-portfolio-standard,market,policyType,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AK,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
AL,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
AR,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
AZ,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
CA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
CO,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
CT,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
DC,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
DE,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
FL,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
GA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
HI,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
IA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
ID,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
IL,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
IN,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
KS,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
KY,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
LA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
MA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
MD,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
ME,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
MI,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
MN,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
MO,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
MS,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
MT,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
NC,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
ND,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
NE,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
NH,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
NJ,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
NM,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
NV,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
NY,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
OH,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
OK,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
OR,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
PA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
RI,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
SC,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
SD,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
TN,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
TX,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
UT,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
VA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
VT,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
WA,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
WI,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
WV,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
WY,coal-elec-constraint,USA,tax,1.9787,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308,1.0308
