INPUT_TABLE,,,,,
Variable ID,,,,,
StubTechCoalRet,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,lifetime
AL,base load generation,nuclear,nuc_base_Gen II,2015,-1
AR,base load generation,nuclear,nuc_base_Gen II,2015,-1
AZ,base load generation,nuclear,nuc_base_Gen II,2015,-1
CA,base load generation,nuclear,nuc_base_Gen II,2015,-1
CT,base load generation,nuclear,nuc_base_Gen II,2015,-1
FL,base load generation,nuclear,nuc_base_Gen II,2015,-1
GA,base load generation,nuclear,nuc_base_Gen II,2015,-1
IA,base load generation,nuclear,nuc_base_Gen II,2015,-1
IL,base load generation,nuclear,nuc_base_Gen II,2015,-1
KS,base load generation,nuclear,nuc_base_Gen II,2015,-1
LA,base load generation,nuclear,nuc_base_Gen II,2015,-1
MA,base load generation,nuclear,nuc_base_Gen II,2015,-1
MD,base load generation,nuclear,nuc_base_Gen II,2015,-1
ME,base load generation,nuclear,nuc_base_Gen II,2015,-1
MI,base load generation,nuclear,nuc_base_Gen II,2015,-1
MN,base load generation,nuclear,nuc_base_Gen II,2015,-1
MO,base load generation,nuclear,nuc_base_Gen II,2015,-1
MS,base load generation,nuclear,nuc_base_Gen II,2015,-1
NC,base load generation,nuclear,nuc_base_Gen II,2015,-1
NE,base load generation,nuclear,nuc_base_Gen II,2015,-1
NH,base load generation,nuclear,nuc_base_Gen II,2015,-1
NJ,base load generation,nuclear,nuc_base_Gen II,2015,-1
NY,base load generation,nuclear,nuc_base_Gen II,2015,-1
OH,base load generation,nuclear,nuc_base_Gen II,2015,-1
OR,base load generation,nuclear,nuc_base_Gen II,2015,-1
PA,base load generation,nuclear,nuc_base_Gen II,2015,-1
SC,base load generation,nuclear,nuc_base_Gen II,2015,-1
TN,base load generation,nuclear,nuc_base_Gen II,2015,-1
TX,base load generation,nuclear,nuc_base_Gen II,2015,-1
VA,base load generation,nuclear,nuc_base_Gen II,2015,-1
VT,base load generation,nuclear,nuc_base_Gen II,2015,-1
WA,base load generation,nuclear,nuc_base_Gen II,2015,-1
WI,base load generation,nuclear,nuc_base_Gen II,2015,-1
AL,base load generation,nuclear,nuc_base_Gen III,2015,-1
AR,base load generation,nuclear,nuc_base_Gen III,2015,-1
AZ,base load generation,nuclear,nuc_base_Gen III,2015,-1
CA,base load generation,nuclear,nuc_base_Gen III,2015,-1
CT,base load generation,nuclear,nuc_base_Gen III,2015,-1
FL,base load generation,nuclear,nuc_base_Gen III,2015,-1
GA,base load generation,nuclear,nuc_base_Gen III,2015,-1
IA,base load generation,nuclear,nuc_base_Gen III,2015,-1
IL,base load generation,nuclear,nuc_base_Gen III,2015,-1
KS,base load generation,nuclear,nuc_base_Gen III,2015,-1
LA,base load generation,nuclear,nuc_base_Gen III,2015,-1
MA,base load generation,nuclear,nuc_base_Gen III,2015,-1
MD,base load generation,nuclear,nuc_base_Gen III,2015,-1
ME,base load generation,nuclear,nuc_base_Gen III,2015,-1
MI,base load generation,nuclear,nuc_base_Gen III,2015,-1
MN,base load generation,nuclear,nuc_base_Gen III,2015,-1
MO,base load generation,nuclear,nuc_base_Gen III,2015,-1
MS,base load generation,nuclear,nuc_base_Gen III,2015,-1
NC,base load generation,nuclear,nuc_base_Gen III,2015,-1
NE,base load generation,nuclear,nuc_base_Gen III,2015,-1
NH,base load generation,nuclear,nuc_base_Gen III,2015,-1
NJ,base load generation,nuclear,nuc_base_Gen III,2015,-1
NY,base load generation,nuclear,nuc_base_Gen III,2015,-1
OH,base load generation,nuclear,nuc_base_Gen III,2015,-1
OR,base load generation,nuclear,nuc_base_Gen III,2015,-1
PA,base load generation,nuclear,nuc_base_Gen III,2015,-1
SC,base load generation,nuclear,nuc_base_Gen III,2015,-1
TN,base load generation,nuclear,nuc_base_Gen III,2015,-1
TX,base load generation,nuclear,nuc_base_Gen III,2015,-1
VA,base load generation,nuclear,nuc_base_Gen III,2015,-1
VT,base load generation,nuclear,nuc_base_Gen III,2015,-1
WA,base load generation,nuclear,nuc_base_Gen III,2015,-1
WI,base load generation,nuclear,nuc_base_Gen III,2015,-1
