INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechCoalRet2,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,lifetime,fixedOutput
AL,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.142066177
AR,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.045794945
AZ,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.111950132
CA,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.065568668
CT,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.060773371
FL,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.105524456
GA,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.123705634
IA,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.017623436
IL,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.353165497
KS,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.03300584
LA,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.061749295
MA,base load generation,nuclear,nuc_base_Gen II,2020,-1,0
MD,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.053956552
ME,base load generation,nuclear,nuc_base_Gen II,2020,-1,0
MI,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.109723298
MN,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.052564784
MO,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.038359004
MS,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.024910092
NC,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.151477016
NE,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.020275704
NH,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.036222106
NJ,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.102390448
NY,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.15450844
OH,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.065934025
OR,base load generation,nuclear,nuc_base_Gen II,2020,-1,0
PA,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.274083127
SC,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.189779288
TN,base load generation,nuclear,nuc_base_Gen II,2020,-1,0.130234975
