INPUT_TABLE
Variable ID
12

sector,subsector,subsector2,technology,year,pollutant
base load generation,biomass,biomass_base_conv,biomass (conv) (cooling pond),2015,CO2_ELEC
base load generation,biomass,biomass_base_conv,biomass (conv) (dry cooling),2015,CO2_ELEC
base load generation,biomass,biomass_base_conv,biomass (conv) (once through),2015,CO2_ELEC
base load generation,biomass,biomass_base_conv,biomass (conv) (recirculating),2015,CO2_ELEC
base load generation,biomass,biomass_base_conv,biomass (conv) (seawater),2015,CO2_ELEC
base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (dry cooling),2015,CO2_ELEC
base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (recirculating),2015,CO2_ELEC
base load generation,biomass,biomass_base_conv_CCS,biomass (conv CCS) (seawater),2015,CO2_ELEC
base load generation,biomass,biomass_base_IGCC,biomass (IGCC) (dry cooling),2015,CO2_ELEC
base load generation,biomass,biomass_base_IGCC,biomass (IGCC) (recirculating),2015,CO2_ELEC
base load generation,biomass,biomass_base_IGCC,biomass (IGCC) (seawater),2015,CO2_ELEC
base load generation,biomass,biomass_base_IGCC_CCS,biomass (IGCC CCS) (dry cooling),2015,CO2_ELEC
base load generation,biomass,biomass_base_IGCC_CCS,biomass (IGCC CCS) (recirculating),2015,CO2_ELEC
base load generation,biomass,biomass_base_IGCC_CCS,biomass (IGCC CCS) (seawater),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 1951-1955,coal (conv pul) (cooling pond),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 1951-1955,coal (conv pul) (dry cooling),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 1951-1955,coal (conv pul) (once through),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 1951-1955,coal (conv pul) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 1956-1960,coal (conv pul) (cooling pond),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 1956-1960,coal (conv pul) (dry cooling),2015,CO2_ELEC
