
INPUT_TABLE
Variable ID
GLIMPSEPFStdTechUpBoundP2

region,policy-name,market,type,constraint-yr,constraint-val
USA,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2025,41.0
USA,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2030,32.8
USA,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2035,24.6
USA,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2040,16.4
USA,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2045,8.2
USA,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2050,0.0
Africa_Eastern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2025,41.0
Africa_Eastern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2030,32.8
Africa_Eastern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2035,24.6
Africa_Eastern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2040,16.4
Africa_Eastern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2045,8.2
Africa_Eastern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2050,0.0
Africa_Northern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2025,41.0
Africa_Northern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2030,32.8
Africa_Northern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2035,24.6
Africa_Northern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2040,16.4
Africa_Northern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2045,8.2
Africa_Northern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2050,0.0
Africa_Southern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2025,41.0
Africa_Southern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2030,32.8
Africa_Southern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2035,24.6
Africa_Southern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2040,16.4
Africa_Southern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2045,8.2
Africa_Southern,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2050,0.0
Africa_Western,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2025,41.0
Africa_Western,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2030,32.8
Africa_Western,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463,tchBnd_Up_Egu_Acr_Reg_Mkt89920899072658907200090726609158463,tax,2035,24.6
